"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"ABTB2","-",8,4,8,6,1,1,0.0503018108651912,0.763358778625954,0,1,38149,206679,0.592074592074592,TRUE,FALSE,TRUE,FALSE,NA
"ACAA1","-",1,2,1,2,1,1,0.0253356979984799,0.364963503649635,0,1,0,5946,0.333333333333333,FALSE,FALSE,TRUE,FALSE,NA
"ACAA2","-",19,11,20,14,2,5,0.117096018735363,0.29940119760479,0.236842105263158,1,75321,104446,1,FALSE,FALSE,TRUE,FALSE,NA
"ACACA","-",72,35,182,77,3,4,0.134952766531714,8.69565217391304,0.191263282172372,1,4036,323459,0.175354174955846,FALSE,TRUE,TRUE,FALSE,NA
"ACACB","+",14,5,15,5,2,5,0.161290322580645,0.376222723852521,0.355555555555556,2,6942,131254,0.318885448916409,FALSE,TRUE,TRUE,FALSE,NA
"ACAD10","+",15,2,20,2,2,1,0.0503018108651912,0.0493339911198816,0,1,0,55676,1,FALSE,FALSE,TRUE,FALSE,NA
"ACAD11","-",33,17,42,24,2,5,0.0551571980143409,0.587371512481645,0.282407407407407,2,887,100816,0.036836132317839,FALSE,TRUE,TRUE,FALSE,NA
"ACAD8","+",2,2,2,2,1,1,0.016739203213927,0.137362637362637,0,1,0,9361,1,FALSE,FALSE,TRUE,FALSE,NA
"ACAD9","+",12,10,13,10,1,4,0.0871839581517001,2.11640211640212,0.2875,1,2167,35378,0.41364921254543,FALSE,TRUE,TRUE,FALSE,NA
"ACADL","-",1,1,1,1,1,1,0.0676132521974307,0.0973709834469328,0,2,16744,53481,1,FALSE,FALSE,FALSE,FALSE,NA
"ACADM","+",22,10,23,12,2,2,0.117924528301887,0.847457627118644,0.166666666666667,1,53295,91869,0.721023359288098,TRUE,TRUE,TRUE,FALSE,NA
"ACADS","+",0,2,0,2,0,1,0,0.127226463104326,0,1,4664,120744673,1,FALSE,FALSE,TRUE,FALSE,NA
"ACADSB","+",5,5,6,6,2,2,0.0732600732600733,0.182481751824818,0.119047619047619,1,0,33662,0.545454545454545,FALSE,TRUE,TRUE,FALSE,NA
"ACADVL","+",12,4,13,4,1,2,0.0558347292015634,0.067842605156038,0.15,1,0,3483,0.576470588235294,FALSE,FALSE,TRUE,FALSE,NA
"ACAN","+",1,2,1,2,1,1,0.0144759698899826,0.37037037037037,0,1,71143,108769,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAP1","+",67,27,130,61,4,4,0.137362637362637,4.8780487804878,0.125244618395303,1,3159,16446,0.35552782149997,TRUE,TRUE,TRUE,FALSE,NA
"ACAP2","-",86,45,181,94,4,7,0.485436893203883,1.21457489878543,0.160134378499439,2,19854,189844,0.00735823115655268,FALSE,TRUE,TRUE,FALSE,NA
